admit,gre,gpa,rank
0,380,3.6099999,3
1,660,3.6700001,3
1,800,4,1
1,640,3.1900001,4
0,520,2.9300001,4
1,760,3,2
1,560,2.98,1
0,400,3.0799999,2
1,540,3.3900001,3
0,700,3.9200001,2
0,800,4,4
0,440,3.22,1
1,760,4,1
0,700,3.0799999,2
1,700,4,1
0,480,3.4400001,3
0,780,3.8699999,4
0,360,2.5599999,3
0,800,3.75,2
1,540,3.8099999,1
0,500,3.1700001,3
1,660,3.6300001,2
0,600,2.8199999,4
0,680,3.1900001,4
1,760,3.3499999,2
1,800,3.6600001,1
1,620,3.6099999,1
1,520,3.74,4
1,780,3.22,2
0,520,3.29,1
0,540,3.78,4
0,760,3.3499999,3
0,600,3.4000001,3
1,800,4,3
0,360,3.1400001,1
0,400,3.05,2
0,580,3.25,1
0,520,2.9000001,3
1,500,3.1300001,2
1,520,2.6800001,3
0,560,2.4200001,2
1,580,3.3199999,2
1,600,3.1500001,2
0,500,3.3099999,3
0,700,2.9400001,2
1,460,3.45,3
1,580,3.46,2
0,500,2.97,4
0,440,2.48,4
0,400,3.3499999,3
0,640,3.8599999,3
0,440,3.1300001,4
0,740,3.3699999,4
1,680,3.27,2
0,660,3.3399999,3
1,740,4,3
0,560,3.1900001,3
0,380,2.9400001,3
0,400,3.6500001,2
0,600,2.8199999,4
1,620,3.1800001,2
0,560,3.3199999,4
0,640,3.6700001,3
1,680,3.8499999,3
0,580,4,3
0,600,3.5899999,2
0,740,3.6199999,4
0,620,3.3,1
0,580,3.6900001,1
0,800,3.73,1
0,640,4,3
0,300,2.9200001,4
0,480,3.3900001,4
0,580,4,2
0,720,3.45,4
0,720,4,3
0,560,3.3599999,3
1,800,4,3
0,540,3.1199999,1
1,620,4,1
0,700,2.9000001,4
0,620,3.0699999,2
0,500,2.71,2
0,380,2.9100001,4
1,500,3.5999999,3
0,520,2.98,2
0,600,3.3199999,2
0,600,3.48,2
0,700,3.28,1
1,660,4,2
0,700,3.8299999,2
1,720,3.6400001,1
0,800,3.9000001,2
0,580,2.9300001,2
1,660,3.4400001,2
0,660,3.3299999,2
0,640,3.52,4
0,480,3.5699999,2
0,700,2.8800001,2
0,400,3.3099999,3
0,340,3.1500001,3
0,580,3.5699999,3
0,380,3.3299999,4
0,540,3.9400001,3
1,660,3.95,2
1,740,2.97,2
1,700,3.5599999,1
0,480,3.1300001,2
0,400,2.9300001,3
0,480,3.45,2
0,680,3.0799999,4
0,420,3.4100001,4
0,360,3,3
0,600,3.22,1
0,720,3.8399999,3
0,620,3.99,3
1,440,3.45,2
0,700,3.72,2
1,800,3.7,1
0,340,2.9200001,3
1,520,3.74,2
1,480,2.6700001,2
0,520,2.8499999,3
0,500,2.98,3
0,720,3.8800001,3
0,540,3.3800001,4
1,600,3.54,1
0,740,3.74,4
0,540,3.1900001,2
0,460,3.1500001,4
1,620,3.1700001,2
0,640,2.79,2
0,580,3.4000001,2
0,500,3.0799999,3
0,560,2.95,2
0,500,3.5699999,3
0,560,3.3299999,4
0,700,4,3
0,620,3.4000001,2
1,600,3.5799999,1
0,640,3.9300001,2
1,700,3.52,4
0,620,3.9400001,4
0,580,3.4000001,3
0,580,3.4000001,4
0,380,3.4300001,3
0,480,3.4000001,2
0,560,2.71,3
1,480,2.9100001,1
0,740,3.3099999,1
1,800,3.74,1
0,400,3.3800001,2
1,640,3.9400001,2
0,580,3.46,3
0,620,3.6900001,3
1,580,2.8599999,4
0,560,2.52,2
1,480,3.5799999,1
0,660,3.49,2
0,700,3.8199999,3
0,600,3.1300001,2
0,640,3.5,2
1,700,3.5599999,2
0,520,2.73,2
0,580,3.3,2
0,700,4,1
0,440,3.24,4
0,720,3.77,3
0,500,4,3
0,600,3.6199999,3
0,400,3.51,3
0,540,2.8099999,3
0,680,3.48,3
1,800,3.4300001,2
0,500,3.53,4
1,620,3.3699999,2
0,520,2.6199999,2
1,620,3.23,3
0,620,3.3299999,3
0,300,3.01,3
0,620,3.78,3
0,500,3.8800001,4
0,700,4,2
1,540,3.8399999,2
0,500,2.79,4
0,800,3.5999999,2
0,560,3.6099999,3
0,580,2.8800001,2
0,560,3.0699999,2
0,500,3.3499999,2
1,640,2.9400001,2
0,800,3.54,3
0,640,3.76,3
0,380,3.5899999,4
1,600,3.47,2
0,560,3.5899999,2
0,660,3.0699999,3
1,400,3.23,4
0,600,3.6300001,3
0,580,3.77,4
0,800,3.3099999,3
1,580,3.2,2
1,700,4,1
0,420,3.9200001,4
1,600,3.8900001,1
1,780,3.8,3
0,740,3.54,1
1,640,3.6300001,1
0,540,3.1600001,3
0,580,3.5,2
0,740,3.3399999,4
0,580,3.02,2
0,460,2.8699999,2
0,640,3.3800001,3
1,600,3.5599999,2
1,660,2.9100001,3
0,340,2.9000001,1
1,460,3.6400001,1
0,460,2.98,1
1,560,3.5899999,2
0,540,3.28,3
0,680,3.99,3
1,480,3.02,1
0,800,3.47,3
0,800,2.9000001,2
1,720,3.5,3
0,620,3.5799999,2
0,540,3.02,4
0,480,3.4300001,2
1,720,3.4200001,2
0,580,3.29,4
0,600,3.28,3
0,380,3.3800001,2
0,420,2.6700001,3
1,800,3.53,1
0,620,3.05,2
1,660,3.49,2
0,480,4,2
0,500,2.8599999,4
0,700,3.45,3
0,440,2.76,2
1,520,3.8099999,1
1,680,2.96,3
0,620,3.22,2
0,540,3.04,1
0,800,3.9100001,3
0,680,3.3399999,2
0,440,3.1700001,2
0,680,3.6400001,3
0,640,3.73,3
0,660,3.3099999,4
0,620,3.21,4
1,520,4,2
1,540,3.55,4
1,740,3.52,4
0,640,3.3499999,3
1,520,3.3,2
1,620,3.95,3
0,520,3.51,2
0,640,3.8099999,2
0,680,3.1099999,2
0,440,3.1500001,2
1,520,3.1900001,3
1,620,3.95,3
1,520,3.9000001,3
0,380,3.3399999,3
0,560,3.24,4
1,600,3.6400001,3
1,680,3.46,2
0,500,2.8099999,3
1,640,3.95,2
0,540,3.3299999,3
1,680,3.6700001,2
0,660,3.3199999,1
0,520,3.1199999,2
1,600,2.98,2
0,460,3.77,3
1,580,3.5799999,1
1,680,3,4
1,660,3.1400001,2
0,660,3.9400001,2
0,360,3.27,3
0,660,3.45,4
0,520,3.0999999,4
1,440,3.3900001,2
0,600,3.3099999,4
1,800,3.22,1
1,660,3.7,4
0,800,3.1500001,4
0,420,2.26,4
1,620,3.45,2
0,800,2.78,2
0,680,3.7,2
0,800,3.97,1
0,480,2.55,1
0,520,3.25,3
0,560,3.1600001,1
0,460,3.0699999,2
0,540,3.5,2
0,720,3.4000001,3
0,640,3.3,2
1,660,3.5999999,3
1,400,3.1500001,2
1,680,3.98,2
0,220,2.8299999,3
0,580,3.46,4
1,540,3.1700001,1
0,580,3.51,2
0,540,3.1300001,2
0,440,2.98,3
0,560,4,3
0,660,3.6700001,2
0,660,3.77,3
1,520,3.6500001,4
0,540,3.46,4
1,300,2.8399999,2
1,340,3,2
1,780,3.6300001,4
1,480,3.71,4
0,540,3.28,1
0,460,3.1400001,3
0,460,3.5799999,2
0,500,3.01,4
0,420,2.6900001,2
0,520,2.7,3
0,680,3.9000001,1
0,680,3.3099999,2
1,560,3.48,2
0,580,3.3399999,2
0,500,2.9300001,4
0,740,4,3
0,660,3.5899999,3
0,420,2.96,1
0,560,3.4300001,3
1,460,3.6400001,3
1,620,3.71,1
0,520,3.1500001,3
0,620,3.0899999,4
0,540,3.2,1
1,660,3.47,3
0,500,3.23,4
1,560,2.6500001,3
0,500,3.95,4
0,580,3.0599999,2
0,520,3.3499999,3
0,500,3.03,3
0,600,3.3499999,2
0,580,3.8,2
0,400,3.3599999,2
0,620,2.8499999,2
1,780,4,2
0,620,3.4300001,3
1,580,3.1199999,3
0,700,3.52,2
1,540,3.78,2
1,760,2.8099999,1
0,700,3.27,2
0,720,3.3099999,1
1,560,3.6900001,3
0,720,3.9400001,3
1,520,4,1
1,540,3.49,1
0,680,3.1400001,2
0,460,3.4400001,2
1,560,3.3599999,1
0,480,2.78,3
0,460,2.9300001,3
0,620,3.6300001,3
0,580,4,1
0,800,3.8900001,2
1,540,3.77,2
1,680,3.76,3
1,680,2.4200001,1
1,620,3.3699999,1
0,560,3.78,2
0,560,3.49,4
0,620,3.6300001,2
1,800,4,2
0,640,3.1199999,3
0,540,2.7,2
0,700,3.6500001,2
1,540,3.49,2
0,540,3.51,2
0,660,4,1
1,480,2.6199999,2
0,420,3.02,1
1,740,3.8599999,2
0,580,3.3599999,2
0,640,3.1700001,2
0,640,3.51,2
1,800,3.05,2
1,660,3.8800001,2
1,600,3.3800001,3
1,620,3.75,2
1,460,3.99,3
0,620,4,2
0,560,3.04,3
0,460,2.6300001,2
0,700,3.6500001,2
0,600,3.8900001,3
